individual_id,id,latitude,longitude,individual,individual patronym,inscription,start date,end date,Roles
251,Dardanos,40.0851,26.3647,Sokles,Olympiodorou,D014,-66,-66,symmystai
166,Dardanos,40.0851,26.3647,Deiphilos,Meniou,D013,-200,-1,theoros
291,Dardanos,40.0851,26.3647,Antiochos,Skopiou,D015,-100,1,theoros
107,Dardanos,40.0851,26.3647,Aisimos,Hermogenou,D009,-200,-101,proxenos
460,Delos,37.396,25.2712,Helianax,Asklepiodorou,C025,-102,-101,
461,Delos,37.396,25.2712,Dekmos,Stlakkios,C029,,,
506,Delos,37.396,25.2712,Markos, (Rhomaios),C022,-156,-155,
507,Delos,37.396,25.2712,Antidotos,(Tyrios),C022,-156,-155,
458,"Dion, Macedonia",40.174578,22.491133,Lysimachus,,C018,,,
509,Dionysopolis,43.4058,28.1655,,,C011,,,priest of theon ton en Samothaikhi
302,Elis,37.8897,21.374,Aristokrates,Antiphaneos,D016,-200,-1,mystes
302,Elis,37.8897,21.374,Aristokrates,Antiphaneos,D016,-200,-1,theoros
301,Elis,37.8897,21.374,Antandros,Theodorou,D016,-200,-1,mystes
301,Elis,37.8897,21.374,Antandros,Theodorou,D016,-200,-1,theoros
748,Ephesos,37.94,27.3399,Demodotos,Dionysiou,D024,-100,-100,
26,Ephesos,37.94,27.3399,Artemidoros ,[- - -],D004,1,200,proxenos
17,Ephesos,37.94,27.3399,Themistagoras ,Euelthontos,D002,-200,-1,proxenos
728,Ephesos,37.94,27.3399,Erasinnides,Erasinnidou,D023,-200,-1,
78,Ephesos,37.94,27.3399,[A]pollodoros,Nikesandrou,D005,-150,-145,theoros
401,Ephesos,37.94,27.3399,Dion[usi]os,,D050,-137,-1,mystes
76,Ephesos,37.94,27.3399,Theodotos,Badromiou,D005,-150,-145,proxenos
26,Ephesos,37.94,27.3399,Artemidoros ,[- - -],D004,1,200,theoros
729,Ephesos,37.94,27.3399,Apollonides,Knossou,D023,-200,-1,
8,Ephesos,37.94,27.3399,Isodikos,Sa[- - -],D001,-200,-101,proxenos
403,Ephesos,37.94,27.3399,Eusues,,D050,-137,-1,mystes
76,Ephesos,37.94,27.3399,Theodotos,Badromiou,D005,-150,-145,theoros
27,Ephesos,37.94,27.3399,Hegesias ,Metr[o- -],D004,1,200,proxenos
730,Ephesos,37.94,27.3399,Herakleides,Epikratou,D023,-200,-1,
17,Ephesos,37.94,27.3399,Themistagoras ,Euelthontos,D002,-200,-1,theoros
8,Ephesos,37.94,27.3399,Isodikos,Sa[- - -],D001,-200,-101,theoros
